GOLD,POM,SnuggleTeX,LatexML,Mathematical,MathToWeb
1,12.0(8.0),-(12.0),4.0(5.0),-(5.0),-(5.0)
2,6.0(1.0),-(7.0),0.0(1.0),-(1.0),-(1.0)
3,8.0(5.0),-(8.0),1.0(0.0),-(2.0),-(4.0)
4,9.0(8.0),-(10.0),2.0(4.0),-(4.0),-(5.0)
5,22.0(23.0),-(42.0),16.0(30.0),-(30.0),-(25.0)
6,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
7,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
8,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
9,87.0(69.0),-(54.0),5.0(30.0),-(30.0),-(32.0)
10,3.0(2.0),-(5.0),0.0(3.0),-(3.0),-(2.0)
11,25.0(19.0),-(16.0),20.0(21.0),-(19.0),-(19.0)
12,6.0(4.0),-(3.0),2.0(1.0),-(1.0),-(4.0)
13,4.0(6.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
14,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
15,6.0(6.0),-(5.0),1.0(3.0),-(3.0),-(4.0)
16,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
17,4.0(3.0),-(2.0),-(2.0),-(3.0),-(4.0)
18,5.0(5.0),-(3.0),0.0(2.0),-(2.0),-(2.0)
19,14.0(12.0),-(9.0),1.0(7.0),-(7.0),-(8.0)
20,1.0(1.0),-(1.0),1.0(0.0),-(0.0),-(1.0)
21,1.0(1.0),-(1.0),1.0(0.0),-(0.0),-(1.0)
22,20.0(26.0),-(24.0),6.0(19.0),-(19.0),-(20.0)
23,27.0(20.0),-(28.0),1.0(13.0),-(13.0),-(14.0)
24,11.0(8.0),-(5.0),2.0(1.0),-(3.0), 
25,11.0(9.0),-(15.0),2.0(5.0),-(5.0),-(8.0)
26,9.0(7.0),-(16.0),2.0(6.0),-(6.0),-(7.0)
27,2.0(1.0),-(2.0),0.0(0.0),-(0.0),-(1.0)
28,20.0(16.0),-(20.0),3.0(11.0),-(11.0),-(14.0)
29,22.0(28.0),-(18.0),0.0(17.0),-(16.0),-(30.0)
30,15.0(10.0),-(7.0),4.0(5.0),-(5.0),-(10.0)
31,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
32,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
33,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
34,19.0(14.0),-(21.0),2.0(7.0),-(7.0),-(9.0)
35,5.0(13.0),-(14.0),3.0(11.0),-(12.0),-(13.0)
36,18.0(11.0),-(4.0),2.0(2.0),-(2.0),-(4.0)
37,16.0(16.0),-(24.0),4.0(10.0),-(10.0),-(13.0)
38,1.0(1.0),-(2.0),0.0(0.0),-(0.0),-(1.0)
39,45.0(34.0),-(33.0),7.0(15.0),-(19.0),-(19.0)
40,13.0(14.0),-(15.0),0.0(5.0),-(11.0),-(12.0)
41,2.0(2.0),-(1.0),1.0(0.0),-(0.0),-(0.0)
42,15.0(7.0),-(14.0),2.0(4.0),-(4.0),-(5.0)
43,53.0(44.0),-(44.0),7.0(34.0),-(34.0),-(36.0)
44,25.0(21.0),-(15.0),0.0(13.0),-(13.0),-(14.0)
45,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
46,7.0(10.0),-(17.0),2.0(8.0),-(8.0),-(12.0)
47,2.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
48,9.0(8.0),-(9.0),0.0(7.0),-(7.0),-(8.0)
49,12.0(16.0),-(17.0),1.0(10.0), ,-(12.0)
50,5.0(5.0),-(3.0),0.0(2.0),-(2.0),-(2.0)
51,17.0(26.0),-(14.0),0.0(12.0),-(12.0),-(13.0)
52,110.0(112.0),-(97.0),7.0(49.0),-(62.0),-(79.0)
53,11.0(11.0),-(12.0),6.0(6.0),-(6.0),-(8.0)
54,0.0(1.0),-(3.0),-(1.0),-(3.0),-(3.0)
55,14.0(10.0),-(12.0),2.0(5.0),-(5.0),-(8.0)
56,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(1.0)
57,9.0(2.0),-(3.0),0.0(1.0),-(1.0),-(2.0)
58,40.0(31.0),-(48.0),0.0(10.0),-(12.0),-(14.0)
59,23.0(17.0),-(19.0),4.0(9.0),-(12.0),-(13.0)
60,53.0(36.0),-(38.0),7.0(24.0),-(24.0),-(26.0)
61,30.0(12.0),-(26.0),12.0(13.0),-(13.0), 
62,3.0(4.0),-(5.0),0.0(3.0),-(3.0),-(4.0)
63,27.0(17.0),-(22.0),0.0(10.0), ,-(22.0)
64,1.0(1.0),-(4.0),0.0(0.0),-(2.0), 
65,8.0(7.0),-(9.0),2.0(3.0),-(3.0),-(4.0)
66,17.0(14.0),-(18.0),1.0(8.0),-(12.0),-(9.0)
67,15.0(12.0),-(9.0),0.0(1.0),-(7.0),-(8.0)
68,10.0(6.0),-(9.0),0.0(3.0),-(3.0),-(3.0)
69,52.0(76.0),-(40.0),3.0(40.0),-(38.0),-(50.0)
70,32.0(48.0),-(35.0),0.0(25.0),-(37.0),-(34.0)
71,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
72,31.0(18.0),-(28.0),4.0(10.0),-(10.0),-(11.0)
73,7.0(5.0),-(8.0),0.0(5.0),-(5.0),-(3.0)
74,8.0(8.0),-(9.0),1.0(3.0),-(7.0),-(5.0)
75,10.0(10.0),-(13.0),5.0(7.0),-(7.0),-(9.0)
76,16.0(11.0),-(6.0),0.0(4.0),-(4.0),-(5.0)
77,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
78,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
79,20.0(13.0),-(10.0),1.0(8.0),-(8.0),-(11.0)
80,7.0(8.0),-(12.0),1.0(4.0),-(6.0),-(7.0)
81,13.0(12.0),-(10.0),0.0(6.0),-(8.0),-(9.0)
82,12.0(7.0),-(14.0),0.0(4.0),-(4.0),-(4.0)
83,10.0(14.0),-(9.0),0.0(7.0),-(7.0),-(8.0)
84,23.0(17.0),-(29.0),8.0(16.0),-(16.0),-(17.0)
85,6.0(7.0),-(9.0),1.0(3.0),-(3.0),-(4.0)
86,22.0(17.0),-(15.0),0.0(5.0),-(22.0),-(17.0)
87,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
88,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
89,12.0(13.0),-(7.0),2.0(5.0),-(5.0),-(6.0)
90,34.0(30.0),-(32.0),4.0(20.0),-(22.0),-(24.0)
91,21.0(17.0),-(18.0),0.0(6.0),-(10.0),-(11.0)
92,22.0(19.0),-(21.0),2.0(9.0),-(13.0),-(11.0)
93,10.0(9.0),-(16.0),4.0(6.0),-(6.0),-(7.0)
94,12.0(14.0),-(11.0),1.0(3.0),-(3.0), 
95,12.0(3.0),-(9.0),0.0(1.0),-(1.0),-(3.0)
96,0.0(1.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
97,5.0(10.0),-(7.0),-(15.0),-(5.0), 
98,4.0(5.0),-(3.0),1.0(2.0),-(2.0),-(3.0)
99,23.0(15.0),-(23.0),0.0(8.0),-(11.0), 
100,4.0(6.0),-(8.0),4.0(2.0),-(2.0),-(3.0)
101,23.0(15.0),-(24.0),6.0(14.0),-(14.0), 
102,23.0(29.0),-(20.0),20.0(18.0),-(18.0),-(19.0)
103,7.0(8.0),-(9.0),1.0(6.0),-(7.0),-(10.0)
104,79.0(48.0),-(47.0),10.0(27.0),-(48.0),-(88.0)
105,24.0(27.0),-(32.0),17.0(26.0),-(26.0),-(28.0)
106,26.0(16.0),-(19.0),10.0(9.0),-(9.0),-(13.0)
107,16.0(15.0),-(17.0),0.0(11.0),-(11.0),-(20.0)
108,33.0(24.0),-(22.0),8.0(13.0),-(17.0),-(16.0)
109,13.0(20.0),-(23.0),2.0(13.0),-(13.0),-(14.0)
110,16.0(13.0),-(15.0),8.0(9.0),-(9.0),-(11.0)
111,44.0(35.0),-(44.0),10.0(23.0),-(28.0),-(31.0)
112,27.0(30.0),-(34.0),13.0(24.0),-(24.0),-(27.0)
113,25.0(19.0),-(11.0),10.0(9.0),-(9.0),-(14.0)
114,12.0(10.0),-(9.0),6.0(7.0),-(7.0),-(8.0)
115,8.0(6.0),-(5.0),2.0(3.0),-(3.0),-(4.0)
116,28.0(24.0),-(26.0),13.0(16.0),-(16.0),-(20.0)
117,23.0(21.0),-(24.0),7.0(16.0),-(16.0),-(18.0)
118,76.0(57.0),-(87.0),11.0(47.0),-(56.0),-(51.0)
119,47.0(39.0),-(52.0),10.0(28.0),-(34.0),-(34.0)
120,50.0(42.0),-(47.0),22.0(20.0), ,-(30.0)
121,46.0(41.0),-(47.0),22.0(26.0),-(30.0),-(33.0)
122,39.0(30.0),-(42.0),16.0(22.0),-(22.0),-(28.0)
123,27.0(31.0),-(46.0),12.0(28.0),-(26.0),-(29.0)
124,56.0(52.0),-(40.0),16.0(30.0),-(33.0),-(37.0)
125,33.0(26.0),-(33.0),-(75.0),-(19.0),-(24.0)
126,50.0(49.0),-(63.0),10.0(36.0),-(36.0),-(46.0)
127,34.0(31.0),-(34.0),18.0(20.0),-(20.0),-(24.0)
128,30.0(27.0),-(32.0),14.0(20.0), ,-(23.0)
129,70.0(45.0),-(52.0),9.0(33.0),-(37.0),-(42.0)
130,64.0(41.0),-(58.0),21.0(35.0),-(34.0),-(43.0)
131,82.0(60.0),-(67.0),19.0(51.0),-(51.0),-(63.0)
132,48.0(36.0),-(55.0),17.0(29.0),-(29.0),-(32.0)
133,32.0(20.0),-(15.0),2.0(9.0),-(17.0),-(49.0)
134,45.0(41.0),-(54.0),27.0(32.0),-(34.0), 
135,40.0(29.0),-(23.0),8.0(14.0), , 
136,10.0(10.0),-(6.0),15.0(6.0),-(4.0),-(7.0)
137,21.0(21.0),-(30.0),0.0(10.0),-(20.0),-(23.0)
138,29.0(22.0),-(29.0),2.0(15.0),-(19.0),-(22.0)
139,88.0(55.0),-(65.0),8.0(49.0), ,-(77.0)
140,19.0(16.0),-(18.0),3.0(9.0),-(23.0),-(17.0)
141,44.0(27.0),-(40.0),3.0(37.0),-(42.0),-(30.0)
142,12.0(11.0),-(16.0),1.0(9.0),-(10.0),-(12.0)
143,26.0(28.0),-(38.0),13.0(24.0),-(24.0),-(27.0)
144,33.0(28.0),-(31.0),10.0(19.0),-(21.0),-(21.0)
145,31.0(30.0),-(40.0),14.0(23.0),-(23.0),-(20.0)
146,22.0(16.0),-(23.0),8.0(13.0),-(15.0),-(12.0)
147,34.0(50.0),-(64.0),24.0(45.0),-(46.0),-(50.0)
148,44.0(27.0),-(20.0),9.0(6.0),-(14.0),-(8.0)
149,21.0(23.0),-(31.0),4.0(15.0),-(18.0),-(24.0)
150,22.0(27.0),-(35.0),7.0(21.0),-(24.0),-(27.0)
151,22.0(19.0),-(32.0),4.0(18.0),-(18.0),-(21.0)
152,31.0(25.0),-(37.0),13.0(20.0),-(24.0),-(22.0)
153,31.0(23.0),-(32.0),11.0(15.0),-(18.0),-(19.0)
154,57.0(43.0),-(58.0),10.0(34.0),-(44.0),-(52.0)
155,4.0(3.0),-(3.0),0.0(0.0),-(0.0),-(3.0)
156,69.0(55.0),-(54.0),12.0(43.0),-(47.0),-(53.0)
157,36.0(16.0),-(13.0),6.0(11.0),-(13.0), 
158,27.0(17.0),-(12.0),0.0(10.0),-(10.0),-(11.0)
159,48.0(29.0),-(40.0),0.0(14.0),-(14.0),-(21.0)
160,47.0(35.0),-(59.0),7.0(27.0),-(32.0),-(33.0)
161,38.0(28.0),-(49.0),10.0(27.0),-(27.0),-(32.0)
162,57.0(39.0),-(54.0),11.0(26.0),-(40.0),-(38.0)
163,55.0(33.0),-(48.0),18.0(24.0),-(24.0),-(28.0)
164,14.0(5.0),-(7.0),1.0(4.0),-(4.0),-(7.0)
165,9.0(8.0),-(11.0),1.0(4.0),-(4.0),-(7.0)
166,46.0(42.0),-(43.0),23.0(25.0),-(34.0),-(31.0)
167,25.0(14.0),-(21.0),2.0(13.0),-(13.0),-(13.0)
168,24.0(17.0),-(21.0),19.0(10.0),-(11.0),-(14.0)
169,10.0(20.0),-(24.0),6.0(17.0),-(17.0),-(17.0)
170,44.0(43.0),-(43.0),28.0(31.0), ,-(34.0)
171,30.0(25.0),-(31.0),8.0(16.0),-(16.0),-(21.0)
172,104.0(91.0),-(70.0),-(278.0),-(69.0),-(77.0)
173,57.0(40.0),-(57.0),16.0(26.0),-(32.0),-(36.0)
174,110.0(65.0),-(88.0),15.0(38.0),-(47.0),-(56.0)
175,121.0(106.0),-(139.0),35.0(80.0),-(86.0),-(93.0)
176,12.0(18.0),-(24.0),3.0(11.0),-(11.0),-(11.0)
177,42.0(41.0),-(59.0),14.0(29.0),-(29.0),-(40.0)
178,7.0(8.0),-(13.0),1.0(4.0),-(7.0),-(8.0)
179,27.0(21.0),-(27.0),9.0(10.0),-(14.0),-(18.0)
180,21.0(14.0),-(8.0),3.0(4.0),-(4.0),-(2.0)
181,19.0(15.0),-(18.0),5.0(12.0),-(12.0),-(13.0)
182,43.0(27.0),-(38.0),11.0(16.0),-(26.0), 
183,39.0(44.0),-(42.0),11.0(30.0),-(30.0),-(41.0)
184,23.0(21.0),-(24.0),13.0(14.0),-(14.0),-(16.0)
185,21.0(20.0),-(24.0),5.0(8.0),-(8.0),-(8.0)
186,72.0(46.0),-(51.0),13.0(36.0),-(35.0),-(39.0)
187,69.0(72.0),-(78.0),20.0(55.0),-(55.0),-(69.0)
188,15.0(10.0),-(14.0),4.0(7.0),-(7.0),-(11.0)
189,4.0(3.0),-(2.0),1.0(0.0),-(0.0),-(1.0)
190,32.0(24.0),-(19.0),2.0(17.0),-(17.0),-(16.0)
191,17.0(11.0),-(16.0),2.0(4.0),-(4.0),-(4.0)
192,57.0(37.0),-(52.0),16.0(20.0),-(32.0),-(31.0)
193,46.0(33.0),-(29.0),19.0(23.0),-(23.0),-(28.0)
194,102.0(65.0),-(60.0),9.0(34.0),-(36.0), 
195,51.0(43.0),-(55.0),50.0(37.0),-(33.0),-(39.0)
196,72.0(63.0),-(97.0),32.0(56.0),-(56.0),-(49.0)
197,18.0(14.0),-(24.0),14.0(12.0),-(10.0),-(10.0)
198,61.0(51.0),-(23.0),9.0(6.0), ,-(8.0)
199,74.0(65.0),-(57.0),6.0(24.0), ,-(35.0)
200,71.0(52.0),-(76.0),21.0(42.0),-(44.0),-(51.0)
201,5.0(5.0),-(6.0),0.0(4.0),-(6.0),-(5.0)
202,24.0(26.0),-(32.0),1.0(12.0),-(18.0),-(17.0)
203,19.0(4.0),-(9.0),0.0(0.0),-(0.0),-(4.0)
204,30.0(13.0),-(9.0),9.0(7.0),-(7.0),-(13.0)
205,61.0(30.0),-(21.0),7.0(10.0),-(9.0),-(22.0)
206,22.0(20.0),-(26.0),3.0(12.0),-(12.0),-(13.0)
207,10.0(5.0),-(13.0),2.0(4.0),-(4.0),-(4.0)
208,8.0(6.0),-(4.0),1.0(2.0),-(2.0),-(2.0)
209,42.0(35.0),-(27.0),4.0(9.0),-(18.0),-(14.0)
210,7.0(6.0),-(4.0),0.0(2.0),-(2.0),-(3.0)
211,32.0(24.0),-(20.0),0.0(2.0),-(2.0),-(6.0)
212,18.0(22.0),-(28.0),3.0(14.0),-(14.0),-(16.0)
213,19.0(29.0),-(40.0),4.0(20.0),-(20.0),-(19.0)
214,3.0(6.0),-(5.0),0.0(3.0),-(3.0),-(4.0)
215,8.0(9.0),-(13.0),1.0(7.0),-(7.0),-(8.0)
216,15.0(12.0),-(10.0),0.0(2.0),-(2.0),-(4.0)
217,0.0(1.0),-(1.0),-(1.0),-(0.0),-(0.0)
218,37.0(43.0),-(44.0),3.0(28.0),-(34.0),-(36.0)
219,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
220,107.0(63.0),-(87.0),8.0(43.0), , 
221,26.0(26.0),-(26.0),3.0(11.0),-(18.0),-(16.0)
222,19.0(14.0),-(19.0),1.0(14.0), ,-(17.0)
223,0.0(1.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
224,12.0(13.0),-(12.0),-(19.0),-(10.0),-(12.0)
225,32.0(28.0),-(30.0),3.0(16.0),-(26.0), 
226,46.0(41.0),-(44.0),3.0(30.0),-(30.0),-(33.0)
227,9.0(25.0),-(20.0),1.0(14.0),-(14.0),-(16.0)
228,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
229,1.0(12.0),-(12.0),0.0(6.0),-(6.0),-(7.0)
230,7.0(3.0),-(6.0),0.0(0.0),-(0.0),-(2.0)
231,2.0(1.0),-(2.0),5.0(0.0),-(0.0),-(1.0)
232,8.0(2.0),-(3.0),0.0(1.0),-(1.0),-(2.0)
233,66.0(42.0),-(57.0),6.0(29.0),-(29.0),-(30.0)
234,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
235,11.0(9.0),-(8.0),0.0(1.0),-(1.0),-(2.0)
236,5.0(4.0),-(2.0),0.0(0.0),-(0.0), 
237,21.0(17.0),-(10.0),1.0(8.0),-(8.0),-(9.0)
238,24.0(26.0),-(35.0),2.0(20.0),-(20.0),-(23.0)
239,1.0(8.0),-(10.0),0.0(4.0),-(4.0),-(5.0)
240,8.0(7.0),-(2.0),2.0(0.0),-(0.0),-(1.0)
241,30.0(26.0),-(33.0),7.0(16.0), ,-(13.0)
242,7.0(11.0),-(12.0),0.0(6.0),-(6.0),-(8.0)
243,4.0(6.0),-(4.0),0.0(2.0),-(2.0),-(3.0)
244,8.0(6.0),-(12.0),2.0(7.0),-(6.0),-(9.0)
245,19.0(11.0),-(12.0),0.0(3.0),-(3.0),-(6.0)
246,18.0(40.0),-(36.0),0.0(26.0),-(26.0),-(26.0)
247,116.0(119.0),-(76.0),11.0(76.0),-(66.0), 
248,84.0(81.0),-(96.0),6.0(50.0),-(73.0), 
249,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
250,2.0(1.0),-(2.0),0.0(0.0),-(0.0),-(1.0)
251,12.0(16.0),-(18.0),11.0(11.0),-(13.0), 
252,271.0(251.0),-(171.0),165.0(160.0),-(167.0), 
253,0.0(1.0),-(1.0),-(1.0),-(0.0),-(0.0)
254,26.0(20.0),-(25.0),0.0(17.0),-(19.0), 
255,31.0(26.0),-(23.0),4.0(13.0),-(21.0),-(19.0)
256,11.0(19.0),-(12.0),0.0(10.0),-(10.0),-(11.0)
257,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
258,0.0(1.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
259,13.0(9.0),-(6.0),0.0(4.0),-(4.0),-(5.0)
260,98.0(55.0),-(34.0),6.0(20.0),-(22.0), 
261,25.0(20.0),-(19.0),2.0(4.0),-(7.0),-(5.0)
262,42.0(33.0),-(18.0),4.0(1.0), , 
263,19.0(13.0),-(19.0),3.0(9.0),-(9.0),-(11.0)
264,24.0(35.0),-(37.0),4.0(19.0),-(21.0), 
265,17.0(2.0),-(17.0),0.0(2.0),-(2.0),-(2.0)
266,8.0(6.0),-(4.0),9.0(2.0),-(2.0),-(4.0)
267,28.0(21.0),-(6.0),2.0(4.0),-(4.0),-(7.0)
268,1.0(1.0),-(2.0),0.0(0.0),-(0.0),-(1.0)
269,0.0(1.0),-(7.0),-(1.0),-(7.0),-(7.0)
270,9.0(6.0),-(13.0),2.0(3.0),-(3.0),-(4.0)
271,16.0(23.0),-(8.0),0.0(8.0),-(6.0), 
272,4.0(6.0),-(4.0),0.0(2.0),-(2.0),-(3.0)
273,9.0(4.0),-(5.0),0.0(1.0),-(1.0),-(4.0)
274,4.0(4.0),-(8.0),1.0(2.0),-(2.0),-(3.0)
275,13.0(15.0),-(4.0),0.0(2.0),-(2.0),-(2.0)
276,20.0(11.0),-(26.0),1.0(9.0),-(7.0),-(16.0)
277,9.0(7.0),-(3.0),1.0(1.0),-(1.0),-(1.0)
278,15.0(16.0),-(12.0),0.0(10.0),-(10.0),-(8.0)
279,3.0(2.0),-(1.0),0.0(0.0),-(0.0),-(0.0)
280,15.0(16.0),-(21.0),2.0(12.0),-(12.0),-(16.0)
281,22.0(12.0),-(7.0),2.0(3.0),-(5.0),-(6.0)
